gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_RIBO_REP1,ABE_RIBO_REP2,ABE_RIBO_REP3,ABE_ABEMA_REP1,ABE_ABEMA_REP2,ABE_ABEMA_REP3,ABE_ATIRMO_REP1,ABE_ATIRMO_REP2,ABE_ATIRMO_REP3,ABE_PALBO_REP1,ABE_PALBO_REP2,ABE_PALBO_REP3,ABE_TAGTO_REP1,ABE_TAGTO_REP2,ABE_TAGTO_REP3,ABE_INX_REP1,ABE_INX_REP2,ABE_INX_REP3,PLASMID_LIBRARY
gRNA_CDK4_targ_7862,2934.0,1012.0,1284.0,995.0,371.0,3561.0,1516.0,2263.0,11759.0,3501.0,7770.0,4559.0,6916.0,4709.0,3485.0,3549.0,2563.0,90.0,3729.0,7151.0,3338.0,320.0,46.0,397.0,3628.0
gRNA_CDK4_targ_7863,3820.0,4269.0,1756.0,2439.0,778.0,8615.0,5115.0,6464.0,43516.0,15817.0,26345.0,15714.0,31162.0,12901.0,7406.0,13450.0,20112.0,378.0,4621.0,5616.0,7645.0,1337.0,403.0,11446.0,4031.0
gRNA_CDK4_targ_7864,3068.0,4443.0,2024.0,2301.0,892.0,6657.0,3432.0,5536.0,27291.0,10873.0,16202.0,26266.0,20879.0,8520.0,5409.0,9810.0,14039.0,238.0,1663.0,15441.0,4155.0,608.0,145.0,6544.0,5729.0
gRNA_CDK4_targ_7865,3829.0,4965.0,2780.0,5558.0,1174.0,3684.0,6290.0,9878.0,45401.0,13873.0,13457.0,17165.0,23292.0,7692.0,8113.0,16519.0,18199.0,380.0,5386.0,18184.0,5954.0,948.0,3777.0,14924.0,6556.0
gRNA_CDK4_targ_7866,1461.0,1762.0,891.0,3022.0,847.0,2374.0,1255.0,938.0,3836.0,3134.0,5621.0,3335.0,3435.0,3663.0,2963.0,5041.0,2143.0,79.0,1358.0,694.0,1603.0,194.0,197.0,884.0,4464.0
gRNA_CDK4_targ_7867,1233.0,1068.0,1636.0,3349.0,619.0,3465.0,989.0,1139.0,1525.0,2056.0,1164.0,943.0,1443.0,1689.0,1939.0,1258.0,3502.0,48.0,628.0,1993.0,2744.0,319.0,27.0,888.0,3889.0
gRNA_CDK4_targ_7868,1413.0,626.0,757.0,1786.0,271.0,3952.0,635.0,581.0,5219.0,2715.0,2871.0,3897.0,644.0,2033.0,3285.0,852.0,647.0,14.0,189.0,21.0,760.0,81.0,28.0,1408.0,3900.0
gRNA_CDK4_targ_7869,766.0,1414.0,663.0,2558.0,231.0,494.0,918.0,329.0,2254.0,819.0,486.0,339.0,2154.0,957.0,705.0,843.0,1565.0,35.0,65.0,1871.0,487.0,859.0,37.0,422.0,3669.0
gRNA_CDK4_targ_7870,674.0,1926.0,1494.0,867.0,423.0,4612.0,1073.0,1920.0,10353.0,2146.0,4015.0,5458.0,3412.0,4732.0,4932.0,597.0,1210.0,41.0,1022.0,1452.0,4278.0,435.0,30.0,2324.0,3943.0
gRNA_CDK4_targ_7871,1016.0,762.0,268.0,921.0,94.0,234.0,433.0,445.0,5522.0,812.0,2044.0,686.0,1901.0,974.0,1168.0,1001.0,2150.0,33.0,150.0,3983.0,842.0,95.0,17.0,1142.0,2207.0
gRNA_CDK4_targ_7872,1185.0,1370.0,888.0,1286.0,1215.0,3294.0,1313.0,2117.0,18789.0,7273.0,7507.0,9020.0,4635.0,6264.0,4877.0,3618.0,6312.0,91.0,597.0,3709.0,1785.0,184.0,77.0,1149.0,5137.0
gRNA_CDK4_targ_7873,3332.0,2867.0,2453.0,3996.0,591.0,5353.0,1857.0,1402.0,7937.0,5010.0,4559.0,2516.0,4461.0,6601.0,7861.0,2875.0,3622.0,76.0,478.0,887.0,6903.0,589.0,85.0,2058.0,8236.0
gRNA_CDK4_targ_7874,1317.0,2092.0,1350.0,2166.0,1060.0,6329.0,1565.0,3144.0,6247.0,4169.0,7088.0,7400.0,7374.0,5333.0,3294.0,2044.0,4931.0,81.0,2191.0,6036.0,4957.0,390.0,27.0,4372.0,8301.0
gRNA_CDK4_targ_7875,1619.0,952.0,1740.0,1592.0,473.0,341.0,1539.0,1547.0,21061.0,7571.0,8819.0,6639.0,4226.0,2051.0,3114.0,3432.0,6981.0,101.0,292.0,4174.0,3219.0,238.0,26.0,912.0,5083.0
gRNA_CDK4_targ_7876,644.0,1488.0,562.0,743.0,533.0,734.0,711.0,1208.0,2712.0,1254.0,1611.0,2316.0,1963.0,1760.0,1807.0,2546.0,1699.0,31.0,499.0,104.0,4596.0,433.0,42.0,1464.0,3167.0
gRNA_CDK4_targ_7877,893.0,1564.0,775.0,515.0,534.0,945.0,920.0,3880.0,14515.0,7074.0,12622.0,8161.0,3751.0,4827.0,1072.0,1750.0,8553.0,129.0,576.0,11170.0,3117.0,725.0,61.0,1065.0,3874.0
gRNA_CDK4_targ_7878,1998.0,1366.0,1659.0,2274.0,299.0,1022.0,1649.0,1909.0,17480.0,4716.0,6738.0,4059.0,3670.0,5031.0,3650.0,2519.0,5178.0,80.0,1630.0,3633.0,2450.0,616.0,26.0,3142.0,5498.0
gRNA_CDK4_targ_7879,595.0,557.0,753.0,2252.0,469.0,1706.0,349.0,858.0,3315.0,1222.0,2242.0,2155.0,2656.0,4592.0,3375.0,2113.0,1142.0,18.0,107.0,838.0,967.0,105.0,30.0,1185.0,4152.0
gRNA_CDK4_targ_7880,1592.0,3715.0,1569.0,2322.0,1311.0,4801.0,5677.0,2883.0,22562.0,9923.0,8251.0,5761.0,12907.0,10947.0,7099.0,5943.0,9156.0,183.0,6169.0,5959.0,2318.0,565.0,214.0,3757.0,5362.0
gRNA_CDK4_targ_7881,1095.0,2865.0,1462.0,2255.0,673.0,1286.0,1905.0,1231.0,15921.0,5477.0,5083.0,3168.0,9249.0,6260.0,5483.0,6272.0,2616.0,62.0,1489.0,1488.0,1463.0,201.0,107.0,434.0,4142.0
gRNA_CDK4_targ_7882,2082.0,787.0,1321.0,1532.0,742.0,2479.0,1345.0,2298.0,8005.0,3099.0,5742.0,5673.0,3846.0,4247.0,1984.0,4747.0,11505.0,170.0,1631.0,2965.0,2017.0,167.0,16.0,1103.0,5224.0
