gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK9_targ_1484,27239.0,18703.0,20835.0,32215.0,26676.0,18204.0,1481.0,17039.0,15310.0,22507.0,20131.0,18570.0,34735.0
gRNA_CDK9_targ_1485,5858.0,4560.0,4322.0,10639.0,3776.0,5471.0,348.0,1558.0,2143.0,5122.0,4099.0,3960.0,21296.0
gRNA_CDK9_targ_1486,23503.0,16091.0,33561.0,22934.0,21574.0,9309.0,2463.0,15416.0,7605.0,10000.0,18042.0,24627.0,25005.0
gRNA_CDK9_targ_1487,7920.0,10791.0,17533.0,17800.0,3574.0,8032.0,1543.0,11404.0,11304.0,8127.0,7682.0,8949.0,16551.0
gRNA_CDK9_targ_1488,6713.0,4902.0,15020.0,14142.0,11173.0,6903.0,860.0,2875.0,12613.0,13119.0,13331.0,21309.0,13187.0
gRNA_CDK9_targ_1489,6891.0,10968.0,16687.0,10542.0,13830.0,4719.0,1295.0,10492.0,6280.0,10512.0,20921.0,5728.0,16078.0
gRNA_CDK9_targ_1490,14038.0,16118.0,29705.0,20646.0,15783.0,7227.0,1056.0,13215.0,14623.0,17998.0,28259.0,16085.0,37787.0
gRNA_CDK9_targ_1491,12709.0,7378.0,23723.0,15907.0,2034.0,18034.0,1311.0,10519.0,20602.0,9518.0,8454.0,15753.0,28434.0
gRNA_CDK9_targ_1492,2668.0,1658.0,6024.0,8787.0,1300.0,2546.0,235.0,2210.0,3300.0,1658.0,12777.0,3301.0,9802.0
gRNA_CDK9_targ_1493,23185.0,12790.0,5416.0,13027.0,7097.0,11451.0,1705.0,15877.0,27823.0,7158.0,5821.0,6783.0,14275.0
gRNA_CDK9_targ_1494,6669.0,7959.0,3166.0,13694.0,5600.0,8129.0,496.0,7401.0,12757.0,9277.0,2575.0,929.0,9613.0
gRNA_CDK9_targ_1495,10145.0,11571.0,15620.0,18118.0,12127.0,10077.0,1283.0,12362.0,10798.0,12734.0,14479.0,8349.0,23871.0
gRNA_CDK9_targ_1496,4955.0,2321.0,2334.0,8199.0,4160.0,2708.0,345.0,1849.0,2718.0,2755.0,3867.0,1665.0,13967.0
