Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,100.0,0.0,2461,2461,5,5,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_39_67
HDR,17.80650542,82.19349458,2461,2461,2398,427,1971,0,0,0,1971,0,0,1971,0,0,0,0,gRNA_CDK7_targ_39_67
Reference,100.0,0.0,298,297,4,4,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_40_68
HDR,51.89003436,48.10996564,298,297,291,151,140,0,0,0,140,0,0,140,0,0,0,0,gRNA_CDK7_targ_40_68
Reference,97.8960396,2.1039604,1222,1222,808,791,17,0,0,1,16,0,1,16,0,0,0,0,gRNA_CDK7_targ_41_69
HDR,98.06763285,1.93236715,1222,1222,414,406,8,0,0,0,8,0,0,8,0,0,0,0,gRNA_CDK7_targ_41_69
Reference,41.66666667,58.33333333,14,14,12,5,7,0,0,0,7,0,0,7,0,0,0,0,gRNA_CDK7_targ_42_70
HDR,50.0,50.0,14,14,2,1,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_CDK7_targ_42_70
Reference,100.0,0.0,272,272,5,5,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_43_71
HDR,96.61654135,3.38345865,272,272,266,257,9,0,0,0,9,0,0,9,0,0,0,0,gRNA_CDK7_targ_43_71
Reference,,,707,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_CDK7_targ_44_72
HDR,62.74787535,37.25212465,707,707,706,443,263,0,0,0,263,0,0,263,0,0,0,0,gRNA_CDK7_targ_44_72
Reference,68.94586895,31.05413105,359,359,351,242,109,0,0,0,109,0,0,109,0,0,0,0,gRNA_CDK7_targ_54_73
HDR,28.57142857,71.42857143,359,359,7,2,5,0,0,0,5,0,0,5,0,0,0,0,gRNA_CDK7_targ_54_73
