gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_BSJ-4-116_REP1,ABE_BSJ-4-116_REP2,ABE_BSJ-4-116_REP3,ABE_CDK12-IN-2_REP1,ABE_CDK12-IN-2_REP2,ABE_CDK12-IN-2_REP3,ABE_HQ461_REP1,ABE_HQ461_REP2,ABE_HQ461_REP3,PLASMID_LIBRARY
gRNA_CDK12_targ_2447,5836.0,2616.0,3785.0,2919.0,3618.0,632.0,3281.0,4373.0,4906.0,747.0,5289.0,2851.0,905.0,707.0,1374.0,4219.0
gRNA_CDK12_targ_2448,2692.0,653.0,787.0,912.0,5471.0,400.0,1192.0,3135.0,1945.0,506.0,2338.0,5697.0,652.0,2417.0,607.0,3584.0
gRNA_CDK12_targ_2449,2616.0,401.0,2964.0,709.0,1721.0,113.0,710.0,537.0,1911.0,406.0,1263.0,458.0,153.0,256.0,164.0,5074.0
gRNA_CDK12_targ_2450,1688.0,823.0,1189.0,550.0,3158.0,368.0,807.0,1550.0,1471.0,2101.0,1633.0,560.0,230.0,383.0,265.0,7499.0
gRNA_CDK12_targ_2451,262.0,875.0,653.0,222.0,1623.0,93.0,867.0,632.0,3450.0,548.0,428.0,95.0,2576.0,285.0,181.0,5528.0
gRNA_CDK12_targ_2452,569.0,231.0,60.0,12.0,821.0,55.0,306.0,166.0,51.0,5.0,17.0,3.0,14.0,2.0,0.0,2362.0
gRNA_CDK12_targ_2453,4281.0,301.0,330.0,327.0,720.0,130.0,866.0,353.0,1162.0,197.0,509.0,191.0,92.0,326.0,125.0,5466.0
gRNA_CDK12_targ_2454,220.0,562.0,248.0,938.0,2664.0,491.0,2215.0,1981.0,96.0,1462.0,2258.0,387.0,97.0,204.0,686.0,3731.0
gRNA_CDK12_targ_2455,12139.0,316.0,1454.0,792.0,3460.0,303.0,3194.0,2398.0,627.0,276.0,780.0,1688.0,1782.0,1529.0,313.0,8738.0
gRNA_CDK12_targ_2456,1796.0,281.0,995.0,398.0,1479.0,705.0,595.0,532.0,62.0,114.0,209.0,217.0,33.0,235.0,616.0,3507.0
gRNA_CDK12_targ_2457,2881.0,1761.0,1143.0,2120.0,5035.0,253.0,3889.0,1767.0,2172.0,2232.0,209.0,724.0,128.0,613.0,665.0,5098.0
gRNA_CDK12_targ_2458,219.0,232.0,290.0,352.0,3766.0,380.0,1539.0,895.0,2077.0,207.0,1103.0,902.0,646.0,189.0,637.0,3809.0
gRNA_CDK12_targ_2459,33239.0,14908.0,14597.0,12682.0,10646.0,7734.0,14474.0,26198.0,23433.0,6273.0,9570.0,10989.0,11617.0,7496.0,10855.0,12503.0
gRNA_CDK12_targ_2460,4497.0,3394.0,2111.0,2007.0,3963.0,2171.0,3280.0,11404.0,8144.0,1460.0,4361.0,3978.0,7809.0,5832.0,2763.0,7238.0
