gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_124,4514.0,2655.0,1144.0,6501.0,2995.0,3476.0,201.0,785.0,3165.0,1323.0,2020.0,1226.0,10533.0
gRNA_CDK7_targ_125,2285.0,2912.0,4168.0,5121.0,3480.0,1538.0,181.0,932.0,2096.0,2743.0,2280.0,1532.0,10555.0
gRNA_CDK7_targ_126,7441.0,4968.0,5661.0,6841.0,4612.0,4146.0,252.0,4916.0,9970.0,5464.0,5710.0,19626.0,7462.0
gRNA_CDK7_targ_127,4913.0,8945.0,2882.0,10445.0,8158.0,3919.0,800.0,2934.0,18235.0,6987.0,3194.0,1896.0,6504.0
gRNA_CDK7_targ_128,2576.0,3025.0,8690.0,3002.0,376.0,3304.0,144.0,554.0,542.0,1630.0,757.0,5694.0,11138.0
gRNA_CDK7_targ_129,1378.0,53.0,1468.0,870.0,347.0,474.0,10.0,412.0,1292.0,1217.0,655.0,772.0,4961.0
gRNA_CDK7_targ_130,3134.0,654.0,9132.0,3854.0,721.0,1357.0,211.0,2360.0,2126.0,310.0,3426.0,256.0,6899.0
gRNA_CDK7_targ_131,4025.0,1573.0,6834.0,5915.0,6161.0,1150.0,531.0,1418.0,4445.0,4581.0,3628.0,7808.0,9146.0
gRNA_CDK7_targ_132,2256.0,3377.0,1551.0,10726.0,3269.0,2872.0,217.0,7874.0,4784.0,11203.0,6196.0,7693.0,9210.0
gRNA_CDK7_targ_133,1269.0,628.0,7145.0,4548.0,2593.0,716.0,77.0,6893.0,208.0,8003.0,6089.0,1023.0,8975.0
gRNA_CDK7_targ_134,5757.0,10771.0,9283.0,9024.0,5763.0,6292.0,314.0,8093.0,10900.0,4184.0,6319.0,9521.0,9507.0
gRNA_CDK7_targ_135,31705.0,12258.0,6878.0,21008.0,9258.0,7365.0,1141.0,33890.0,14261.0,25939.0,30147.0,22826.0,8954.0
